trial,score,ckpt,model.hidden_dims,model.dropout,model.lr,model.weight_decay,model.max_emb_dim,train.batch_size,seed,max_trials
1,6.2512,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=32__model_weight_decay=0.0001__seed=42__train_batch_size=2048/evnet-23-6.2512.ckpt","[256, 256]",0.05,0.001,0.0001,32,2048,42,20
2,6.2491,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=32__model_weight_decay=0.0001__seed=1337__train_batch_size=2048/evnet-23-6.2491.ckpt","[256, 256]",0.05,0.001,0.0001,32,2048,1337,20
3,6.5356,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=32__model_weight_decay=0.0001__seed=42__train_batch_size=4096/evnet-22-6.5356.ckpt","[256, 256]",0.05,0.001,0.0001,32,4096,42,20
4,6.5315,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=32__model_weight_decay=0.0001__seed=1337__train_batch_size=4096/evnet-22-6.5315.ckpt","[256, 256]",0.05,0.001,0.0001,32,4096,1337,20
5,6.2345,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=48__model_weight_decay=0.0001__seed=42__train_batch_size=2048/evnet-23-6.2345.ckpt","[256, 256]",0.05,0.001,0.0001,48,2048,42,20
6,6.2383,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=48__model_weight_decay=0.0001__seed=1337__train_batch_size=2048/evnet-23-6.2383.ckpt","[256, 256]",0.05,0.001,0.0001,48,2048,1337,20
7,6.5409,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=48__model_weight_decay=0.0001__seed=42__train_batch_size=4096/evnet-22-6.5409.ckpt","[256, 256]",0.05,0.001,0.0001,48,4096,42,20
8,6.5321,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=48__model_weight_decay=0.0001__seed=1337__train_batch_size=4096/evnet-22-6.5321.ckpt","[256, 256]",0.05,0.001,0.0001,48,4096,1337,20
9,6.2389,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=64__model_weight_decay=0.0001__seed=42__train_batch_size=2048/evnet-23-6.2389.ckpt","[256, 256]",0.05,0.001,0.0001,64,2048,42,20
10,6.2375,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_postflop_facing/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=64__model_weight_decay=0.0001__seed=1337__train_batch_size=2048/evnet-23-6.2375.ckpt","[256, 256]",0.05,0.001,0.0001,64,2048,1337,20
