trial,score,ckpt,model.hidden_dims,model.dropout,model.lr,model.weight_decay,model.max_emb_dim,train.batch_size,seed,max_trials
1,0.0859,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=32__model_weight_decay=0.0001__seed=42__train_batch_size=2048/evnet-18-0.0859.ckpt","[256, 256]",0.05,0.001,0.0001,32,2048,42,20
2,0.0856,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=32__model_weight_decay=0.0001__seed=1337__train_batch_size=2048/evnet-19-0.0856.ckpt","[256, 256]",0.05,0.001,0.0001,32,2048,1337,20
3,0.0941,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=32__model_weight_decay=0.0001__seed=42__train_batch_size=4096/evnet-19-0.0941.ckpt","[256, 256]",0.05,0.001,0.0001,32,4096,42,20
4,0.0936,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=32__model_weight_decay=0.0001__seed=1337__train_batch_size=4096/evnet-19-0.0936.ckpt","[256, 256]",0.05,0.001,0.0001,32,4096,1337,20
5,0.085,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=48__model_weight_decay=0.0001__seed=42__train_batch_size=2048/evnet-18-0.0850.ckpt","[256, 256]",0.05,0.001,0.0001,48,2048,42,20
6,0.0855,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=48__model_weight_decay=0.0001__seed=1337__train_batch_size=2048/evnet-18-0.0855.ckpt","[256, 256]",0.05,0.001,0.0001,48,2048,1337,20
7,0.0952,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=48__model_weight_decay=0.0001__seed=42__train_batch_size=4096/evnet-19-0.0952.ckpt","[256, 256]",0.05,0.001,0.0001,48,4096,42,20
8,0.0939,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=48__model_weight_decay=0.0001__seed=1337__train_batch_size=4096/evnet-19-0.0939.ckpt","[256, 256]",0.05,0.001,0.0001,48,4096,1337,20
9,0.0864,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=64__model_weight_decay=0.0001__seed=42__train_batch_size=2048/evnet-18-0.0864.ckpt","[256, 256]",0.05,0.001,0.0001,64,2048,42,20
10,0.0853,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/evnet_preflop/max_trials=20__model_dropout=0.05__model_hidden_dims=[256, 256]__model_lr=0.001__model_max_emb_dim=64__model_weight_decay=0.0001__seed=1337__train_batch_size=2048/evnet-18-0.0853.ckpt","[256, 256]",0.05,0.001,0.0001,64,2048,1337,20
