trial,score,ckpt,model.lr,model.hidden_dims,model.dropout,train.batch_size,train.max_epochs,dataset.min_weight,max_trials
1,0.8837,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=5__max_trials=12__model_dropout=0.05__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=1024__train_max_epochs=8/popnet-07-0.8837.ckpt",0.001,"[64, 64]",0.05,1024,8,5,12
2,0.8837,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=10__max_trials=12__model_dropout=0.05__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=1024__train_max_epochs=8/popnet-07-0.8837.ckpt",0.001,"[64, 64]",0.05,1024,8,10,12
3,0.7775,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=5__max_trials=12__model_dropout=0.05__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=1024__train_max_epochs=12/popnet-11-0.7775.ckpt",0.001,"[64, 64]",0.05,1024,12,5,12
4,0.7775,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=10__max_trials=12__model_dropout=0.05__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=1024__train_max_epochs=12/popnet-11-0.7775.ckpt",0.001,"[64, 64]",0.05,1024,12,10,12
5,0.8837,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=5__max_trials=12__model_dropout=0.05__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=2048__train_max_epochs=8/popnet-07-0.8837.ckpt",0.001,"[64, 64]",0.05,2048,8,5,12
6,0.8837,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=10__max_trials=12__model_dropout=0.05__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=2048__train_max_epochs=8/popnet-07-0.8837.ckpt",0.001,"[64, 64]",0.05,2048,8,10,12
7,0.7775,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=5__max_trials=12__model_dropout=0.05__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=2048__train_max_epochs=12/popnet-11-0.7775.ckpt",0.001,"[64, 64]",0.05,2048,12,5,12
8,0.7775,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=10__max_trials=12__model_dropout=0.05__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=2048__train_max_epochs=12/popnet-11-0.7775.ckpt",0.001,"[64, 64]",0.05,2048,12,10,12
9,0.8843,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=5__max_trials=12__model_dropout=0.1__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=1024__train_max_epochs=8/popnet-07-0.8843.ckpt",0.001,"[64, 64]",0.1,1024,8,5,12
10,0.8843,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=10__max_trials=12__model_dropout=0.1__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=1024__train_max_epochs=8/popnet-07-0.8843.ckpt",0.001,"[64, 64]",0.1,1024,8,10,12
11,0.7797,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=5__max_trials=12__model_dropout=0.1__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=1024__train_max_epochs=12/popnet-11-0.7797.ckpt",0.001,"[64, 64]",0.1,1024,12,5,12
12,0.7797,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/popnet/dataset_min_weight=10__max_trials=12__model_dropout=0.1__model_hidden_dims=[64, 64]__model_lr=0.001__train_batch_size=1024__train_max_epochs=12/popnet-11-0.7797.ckpt",0.001,"[64, 64]",0.1,1024,12,10,12
