trial,score,ckpt,model.hidden_dims,model.dropout,model.lr,model.weight_decay,model.label_smoothing,model.board_hidden,model.use_board_cluster,train.batch_size,seed,max_trials
1,0.423,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=64__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=True__model_weight_decay=0/postflop_policy-14-0.4230.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,64,True,1024,42,12
2,inf,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=64__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=True__model_weight_decay=0/postflop_policy-14-0.4230-v1.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,64,True,1024,1337,12
3,0.4233,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=64__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=True__model_weight_decay=0/postflop_policy-14-0.4233.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,64,True,2048,42,12
4,inf,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=64__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=True__model_weight_decay=0/postflop_policy-14-0.4233-v1.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,64,True,2048,1337,12
5,0.423,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=64__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=False__model_weight_decay=/postflop_policy-14-0.4230.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,64,False,1024,42,12
6,inf,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=64__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=False__model_weight_decay=/postflop_policy-14-0.4230-v1.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,64,False,1024,1337,12
7,0.4233,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=64__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=False__model_weight_decay=/postflop_policy-14-0.4233.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,64,False,2048,42,12
8,inf,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=64__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=False__model_weight_decay=/postflop_policy-14-0.4233-v1.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,64,False,2048,1337,12
9,0.4229,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=96__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=True__model_weight_decay=0/postflop_policy-14-0.4229.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,96,True,1024,42,12
10,inf,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=96__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=True__model_weight_decay=0/postflop_policy-14-0.4229-v1.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,96,True,1024,1337,12
11,0.4233,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=96__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=True__model_weight_decay=0/postflop_policy-14-0.4233.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,96,True,2048,42,12
12,inf,"/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy/max_trials=12__model_board_hidden=96__model_dropout=0.1__model_hidden_dims=[128, 128]__model_label_smoothing=0.0__model_lr=0.001__model_use_board_cluster=True__model_weight_decay=0/postflop_policy-14-0.4233-v1.ckpt","[128, 128]",0.1,0.001,0.0001,0.0,96,True,2048,1337,12
