trial,score,ckpt,model.hidden_dims,model.dropout,model.lr,model.weight_decay,model.label_smoothing,model.board_hidden,model.use_board_cluster,train.batch_size,seed,max_trials
1,0.278,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2780.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,True,1024,42,12
2,0.2781,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-13-0.2781.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,True,1024,1337,12
3,0.294,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2940.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,True,2048,42,12
4,0.2936,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2936.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,True,2048,1337,12
5,0.2787,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2787.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,False,1024,42,12
6,0.2792,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2792.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,False,1024,1337,12
7,inf,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2940-v1.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,False,2048,42,12
8,0.2935,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2935.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,False,2048,1337,12
9,0.2773,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-13-0.2773.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,96,True,1024,42,12
10,0.2776,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2776.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,96,True,1024,1337,12
11,0.2917,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2917.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,96,True,2048,42,12
12,0.2914,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_facing/postflop_policy_facing-14-0.2914.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,96,True,2048,1337,12
