trial,score,ckpt,model.hidden_dims,model.dropout,model.lr,model.weight_decay,model.label_smoothing,model.board_hidden,model.use_board_cluster,train.batch_size,seed,max_trials
1,0.3092,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-06-0.3092.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,True,1024,42,12
2,0.3091,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-06-0.3091.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,True,1024,1337,12
3,0.3092,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-07-0.3092.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,True,2048,42,12
4,inf,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-07-0.3092-v1.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,True,2048,1337,12
5,inf,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-06-0.3091-v1.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,False,1024,42,12
6,0.3092,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-05-0.3092.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,False,1024,1337,12
7,inf,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-07-0.3092-v2.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,False,2048,42,12
8,inf,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-07-0.3092-v3.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,64,False,2048,1337,12
9,0.3092,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-10-0.3092.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,96,True,1024,42,12
10,inf,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-10-0.3092-v1.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,96,True,1024,1337,12
11,0.3095,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-06-0.3095.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,96,True,2048,42,12
12,inf,/Users/antoniocasamassa/PycharmProjects/PokerAI/checkpoints/postflop_policy_root/postflop_policy_root-06-0.3095-v1.ckpt,"[128, 128]",0.1,0.001,0.0001,0.0,96,True,2048,1337,12
