stack_bb,ip_pos,oop_pos,n
12,BB,BTN,3
12,BB,CO,4
12,BB,HJ,3
12,BB,SB,8
12,BB,UTG,1
12,BTN,BB,3
12,BTN,CO,4
12,BTN,HJ,3
12,BTN,SB,4
12,BTN,UTG,1
12,CO,HJ,3
12,CO,UTG,1
12,HJ,UTG,1
12,SB,BTN,3
12,SB,CO,4
12,SB,HJ,3
12,SB,UTG,1
15,BB,BTN,3
15,BB,CO,4
15,BB,HJ,3
15,BB,SB,8
15,BB,UTG,1
15,BTN,BB,3
15,BTN,CO,4
15,BTN,HJ,3
15,BTN,SB,4
15,BTN,UTG,1
15,CO,HJ,3
15,CO,UTG,1
15,HJ,UTG,1
15,SB,BTN,3
15,SB,CO,4
15,SB,HJ,3
15,SB,UTG,1
18,BB,BTN,3
18,BB,CO,4
18,BB,HJ,3
18,BB,SB,8
18,BB,UTG,1
18,BTN,BB,3
18,BTN,CO,4
18,BTN,HJ,3
18,BTN,SB,4
18,BTN,UTG,1
18,CO,HJ,3
18,CO,UTG,1
18,HJ,UTG,1
18,SB,BTN,3
18,SB,CO,4
18,SB,HJ,3
18,SB,UTG,1
20,BB,BTN,3
20,BB,CO,4
20,BB,HJ,3
20,BB,SB,8
20,BB,UTG,1
20,BTN,BB,4
20,BTN,CO,4
20,BTN,HJ,3
20,BTN,SB,3
20,BTN,UTG,1
20,CO,HJ,3
20,CO,UTG,1
20,HJ,UTG,1
20,SB,BTN,3
20,SB,CO,4
20,SB,HJ,3
20,SB,UTG,1
30,BB,BTN,3
30,BB,CO,3
30,BB,HJ,2
30,BB,SB,6
30,BB,UTG,1
30,BTN,BB,3
30,BTN,CO,4
30,BTN,HJ,2
30,BTN,SB,2
30,BTN,UTG,1
30,CO,HJ,2
30,CO,UTG,1
30,HJ,UTG,1
30,SB,BTN,3
30,SB,CO,4
30,SB,HJ,2
30,SB,UTG,1
40,BB,BTN,3
40,BB,CO,4
40,BB,HJ,3
40,BB,SB,8
40,BB,UTG,1
40,BTN,BB,4
40,BTN,CO,4
40,BTN,HJ,3
40,BTN,SB,3
40,BTN,UTG,1
40,CO,HJ,3
40,CO,UTG,1
40,HJ,UTG,1
40,SB,BTN,3
40,SB,CO,4
40,SB,HJ,3
40,SB,UTG,1
50,BB,BTN,3
50,BB,CO,3
50,BB,HJ,2
50,BB,SB,6
50,BB,UTG,1
50,BTN,BB,3
50,BTN,CO,4
50,BTN,HJ,2
50,BTN,SB,2
50,BTN,UTG,1
50,CO,HJ,2
50,CO,UTG,1
50,HJ,UTG,1
50,SB,BTN,3
50,SB,CO,4
50,SB,HJ,2
50,SB,UTG,1
70,BB,BTN,3
70,BB,CO,3
70,BB,HJ,2
70,BB,SB,6
70,BB,UTG,1
70,BTN,BB,1
70,BTN,CO,3
70,BTN,HJ,2
70,BTN,UTG,1
70,CO,HJ,1
70,CO,UTG,1
70,HJ,UTG,1
70,SB,BTN,3
70,SB,CO,3
70,SB,HJ,2
70,SB,UTG,1
100,BB,BTN,3
100,BB,CO,3
100,BB,HJ,2
100,BB,SB,7
100,BB,UTG,1
100,BTN,BB,3
100,BTN,CO,4
100,BTN,HJ,2
100,BTN,SB,2
100,BTN,UTG,1
100,CO,HJ,2
100,CO,UTG,1
100,HJ,UTG,1
100,SB,BTN,3
100,SB,CO,4
100,SB,HJ,2
100,SB,UTG,1
150,BB,BTN,3
150,BB,CO,3
150,BB,HJ,2
150,BB,SB,7
150,BB,UTG,1
150,BTN,BB,3
150,BTN,CO,4
150,BTN,HJ,2
150,BTN,SB,2
150,BTN,UTG,1
150,CO,HJ,2
150,CO,UTG,1
150,HJ,UTG,1
150,SB,BTN,3
150,SB,CO,4
150,SB,HJ,2
150,SB,UTG,1
200,BB,BTN,3
200,BB,CO,3
200,BB,HJ,2
200,BB,SB,7
200,BB,UTG,1
200,BTN,BB,3
200,BTN,CO,4
200,BTN,HJ,2
200,BTN,SB,2
200,BTN,UTG,1
200,CO,HJ,2
200,CO,UTG,1
200,HJ,UTG,1
200,SB,BTN,3
200,SB,CO,4
200,SB,HJ,2
200,SB,UTG,1
