topology,opener,defender,stack_bb,rake_tier,n,menus
3bet_hu,BB,BB,12,nl10_5pct_1bbcap,1,1
3bet_hu,BB,BB,15,nl10_5pct_1bbcap,1,1
3bet_hu,BB,BB,18,nl10_5pct_1bbcap,1,1
3bet_hu,BB,BB,20,nl10_5pct_1bbcap,1,1
3bet_hu,BB,BB,30,nl10_5pct_1bbcap,1,1
3bet_hu,BB,BB,40,nl10_5pct_1bbcap,1,1
3bet_hu,BB,BB,70,nl10_5pct_1bbcap,1,1
3bet_hu,BB,BB,100,nl10_5pct_1bbcap,1,1
3bet_hu,BB,BB,150,nl10_5pct_1bbcap,1,1
3bet_hu,BB,BB,200,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BB,12,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BB,15,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BB,18,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BB,20,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BB,40,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,12,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,15,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,18,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,20,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,30,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,40,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,50,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,70,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,100,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,150,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,BTN,200,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,SB,12,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,SB,15,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,SB,18,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,SB,20,nl10_5pct_1bbcap,1,1
3bet_hu,BTN,SB,40,nl10_5pct_1bbcap,1,1
3bet_hu,CO,BB,12,nl10_5pct_1bbcap,2,2
3bet_hu,CO,BB,15,nl10_5pct_1bbcap,2,2
3bet_hu,CO,BB,18,nl10_5pct_1bbcap,2,2
3bet_hu,CO,BB,20,nl10_5pct_1bbcap,2,2
3bet_hu,CO,BB,40,nl10_5pct_1bbcap,2,2
3bet_hu,CO,BB,100,nl10_5pct_1bbcap,1,1
3bet_hu,CO,BB,150,nl10_5pct_1bbcap,1,1
3bet_hu,CO,BB,200,nl10_5pct_1bbcap,1,1
3bet_hu,CO,BTN,12,nl10_5pct_1bbcap,2,1
3bet_hu,CO,BTN,15,nl10_5pct_1bbcap,2,1
3bet_hu,CO,BTN,18,nl10_5pct_1bbcap,2,1
3bet_hu,CO,BTN,20,nl10_5pct_1bbcap,2,1
3bet_hu,CO,BTN,30,nl10_5pct_1bbcap,2,1
3bet_hu,CO,BTN,40,nl10_5pct_1bbcap,2,1
3bet_hu,CO,BTN,50,nl10_5pct_1bbcap,2,1
3bet_hu,CO,BTN,70,nl10_5pct_1bbcap,2,2
3bet_hu,CO,BTN,100,nl10_5pct_1bbcap,2,2
3bet_hu,CO,BTN,150,nl10_5pct_1bbcap,2,2
3bet_hu,CO,BTN,200,nl10_5pct_1bbcap,2,2
3bet_hu,CO,CO,12,nl10_5pct_1bbcap,3,1
3bet_hu,CO,CO,15,nl10_5pct_1bbcap,3,1
3bet_hu,CO,CO,18,nl10_5pct_1bbcap,3,1
3bet_hu,CO,CO,20,nl10_5pct_1bbcap,3,1
3bet_hu,CO,CO,30,nl10_5pct_1bbcap,3,1
3bet_hu,CO,CO,40,nl10_5pct_1bbcap,3,2
3bet_hu,CO,CO,50,nl10_5pct_1bbcap,3,1
3bet_hu,CO,CO,70,nl10_5pct_1bbcap,3,1
3bet_hu,CO,CO,100,nl10_5pct_1bbcap,3,2
3bet_hu,CO,CO,150,nl10_5pct_1bbcap,3,2
3bet_hu,CO,CO,200,nl10_5pct_1bbcap,3,2
3bet_hu,CO,SB,12,nl10_5pct_1bbcap,2,1
3bet_hu,CO,SB,15,nl10_5pct_1bbcap,2,1
3bet_hu,CO,SB,18,nl10_5pct_1bbcap,2,1
3bet_hu,CO,SB,20,nl10_5pct_1bbcap,2,1
3bet_hu,CO,SB,30,nl10_5pct_1bbcap,1,1
3bet_hu,CO,SB,40,nl10_5pct_1bbcap,2,1
3bet_hu,CO,SB,50,nl10_5pct_1bbcap,1,1
3bet_hu,CO,SB,70,nl10_5pct_1bbcap,1,1
3bet_hu,CO,SB,100,nl10_5pct_1bbcap,1,1
3bet_hu,CO,SB,150,nl10_5pct_1bbcap,1,1
3bet_hu,CO,SB,200,nl10_5pct_1bbcap,1,1
3bet_hu,HJ,BB,12,nl10_5pct_1bbcap,2,2
