epoch,step,train_acc_epoch,train_loss_epoch,val_acc_epoch,val_loss
0,0,,,0.4266666769981384,1.0403649806976318
0,0,0.4140350818634033,1.0673298835754395,,
1,1,,,0.54666668176651,1.0124653577804565
1,1,0.5228070020675659,1.038024663925171,,
2,2,,,0.6000000238418579,0.9846842288970947
2,2,0.6140350699424744,0.9989688396453857,,
3,3,,,0.5866666436195374,0.9566105008125305
3,3,0.6350877285003662,0.9687067270278931,,
4,4,,,0.5866666436195374,0.9287211894989014
4,4,0.6350877285003662,0.9410654306411743,,
5,5,,,0.5866666436195374,0.9007929563522339
5,5,0.6315789222717285,0.9132308959960938,,
6,6,,,0.5866666436195374,0.8728088140487671
6,6,0.6315789222717285,0.8810887336730957,,
7,7,,,0.5866666436195374,0.8447800278663635
7,7,0.6315789222717285,0.8370221853256226,,
8,8,,,0.5866666436195374,0.8170249462127686
8,8,0.6315789222717285,0.8211361169815063,,
9,9,,,0.5866666436195374,0.7894238233566284
9,9,0.6315789222717285,0.7826376557350159,,
